group,day,start,end,room
GED1-81,mon,8:30,10:30,Q2-0019
GED1-82,mon,8:30,10:30,Q2-0013
GED1-81,mon,11:30,13:30,Q4-1009
GED1-82,mon,11:30,13:30,Q4-1009
GED1-81,mon,13:30,14:30,Q4-1009
GED1-82,mon,13:30,14:30,Q4-1009
GED1-81,tue,10:30,12:30,Q3-0009
GED1-82,tue,10:30,12:30,Q4-1003
GED1-81,tue,12:30,14:30,Q3-0013
GED1-82,tue,12:30,14:30,Q4-1003
GED1-81,wed,8:30,11:30,Q5-2003
GED1-82,wed,8:30,11:30,Q5-2003
GED1-81,wed,11:30,13:30,Q4-1009
GED1-82,wed,11:30,13:30,Q4-1009
GED1-81,wed,13:30,14:30,Q4-1003
GED1-82,wed,13:30,14:30,Q4-1009
GED1-81,thu,10:30,12:30,Q1-0013
GED1-82,thu,10:30,12:30,Q1-0013
GED1-81,thu,12:30,14:30,Q1-0013
GED1-82,thu,12:30,14:30,Q1-0013
GED1-81,fri,10:30,12:30,Q2-1013
GED1-82,fri,10:30,12:30,Q2-1013
GED1-81,fri,12:30,13:30,Q2-1013
GED1-82,fri,12:30,13:30,Q2-1013
GED1-81,fri,13:30,14:30,Q2-1013
GED1-82,fri,13:30,14:30,Q4-1013
GED2-81,mon,8:30,9:30,Q2-1005
GED2-82,mon,8:30,9:30,Q3-0009
GED2-81,mon,9:30,10:30,Q2-1005
GED2-82,mon,9:30,10:30,Q3-0009
GED2-81,mon,10:30,12:30,Q2-1005
GED2-82,mon,10:30,12:30,Q4-1003
GED2-81,tue,8:30,10:30,Q4-1013
GED2-82,tue,8:30,10:30,Q4-1013
GED2-81,tue,10:30,12:30,Q2-1009
GED2-82,tue,10:30,12:30,Q2-1009
GED2-81,tue,12:30,13:30,Q2-1009
GED2-82,tue,12:30,13:30,Q2-1009
GED2-81,tue,13:30,14:30,Q2-1009
GED2-82,tue,13:30,14:30,Q2-1009
GED2-81,wed,8:30,9:30,Q2-1009
GED2-82,wed,8:30,9:30,Q2-1009
GED2-81,wed,9:30,10:30,Q2-1009
GED2-82,wed,9:30,10:30,Q2-1009
GED2-81,wed,10:30,12:30,Q2-1009
GED2-82,wed,10:30,12:30,Q2-1009
GED2-81,wed,12:30,13:30,Q4-1005
GED2-82,wed,12:30,13:30,Q4-1005
GED2-81,wed,13:30,14:30,Q4-1005
GED2-82,wed,13:30,14:30,Q4-1005
GED2-81,thu,10:30,12:30,Q2-1009
GED2-82,thu,10:30,12:30,Q2-1009
GED2-81,fri,8:30,10:30,Q4-1005
GED2-82,fri,8:30,10:30,Q4-1003
GED2-81,fri,10:30,12:30,Q4-1005
GED2-82,fri,10:30,12:30,Q4-1003
GED3-81,mon,15:00,17:00,Q2-1013
GED3-82,mon,15:00,17:00,Q2-1013
GED3-81,mon,17:00,19:00,Q4-1005
GED3-82,mon,17:00,19:00,Q4-1003
GED3-81,tue,15:00,17:00,Q2-1013
GED3-82,tue,15:00,17:00,Q2-1013
GED3-81,tue,17:00,19:00,Q2-1013
GED3-82,tue,17:00,19:00,Q2-1013
GED3-81,wed,12:30,14:30,Q2-0013
GED3-82,wed,12:30,14:30,Q2-0013
GED3-81,wed,15:00,17:00,Q2-1013
GED3-82,wed,15:00,17:00,Q2-1013
GED3-81,wed,17:00,19:00,Q3-1003
GED3-82,wed,17:00,19:00,Q3-1003
GED3-81,wed,19:00,21:00,Q2-0013
GED3-82,wed,19:00,21:00,Q2-0013
GED3-81,thu,15:00,17:00,Q2-1013
GED3-82,thu,15:00,17:00,Q2-1013
GED3-81,thu,17:00,19:00,Q2-1013
GED3-82,thu,17:00,19:00,Q2-1013
GED3-81,fri,15:00,17:00,Q2-1013
GED3-82,fri,15:00,17:00,Q2-1013
GED3-81,fri,17:00,19:00,Q4-1003
GED3-82,fri,17:00,19:00,Q4-1005
GED4-81,mon,8:30,10:30,Q3-0011
GED4-81,mon,10:30,11:30,Q3-0011
GED4-81,mon,12:30,14:30,Q3-0011
GED4-81,mon,15:00,17:00,Q2-1003
GED4-81,tue,12:30,14:30,Q2-1005
GED4-81,tue,15:00,17:00,Q2-1003
GED4-81,thu,12:30,14:30,Q3-0011
GED4-81,thu,15:00,16:00,Q2/1003
GED4-81,thu,16:00,17:00,Q2/1003
GED4-81,thu,17:00,18:00,Q2/1003
GED4-81,fri,12:30,14:30,Q2-1005
GED4-81,fri,15:00,17:00,Q2-1003
